start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2005-01-26,2007-08-17,0,Regime 0,1174.0699462890625,1445.93994140625,0.23156200870016286,645
2007-08-17,2007-08-20,1,Regime 1,1445.93994140625,1445.550048828125,-0.0002696464541576127,2
2007-08-20,2007-08-22,0,Regime 0,1445.550048828125,1464.0699462890625,0.012811661191496793,3
2007-08-22,2007-08-23,1,Regime 1,1464.0699462890625,1462.5,-0.001072316451165345,2
2007-08-23,2007-09-18,0,Regime 0,1462.5,1519.780029296875,0.039165831997863165,18
2007-09-18,2007-09-19,1,Regime 1,1519.780029296875,1529.030029296875,0.0060864071258255326,2
2007-09-19,2007-11-23,0,Regime 0,1529.030029296875,1440.699951171875,-0.05776870070080875,47
2007-11-23,2007-11-26,1,Regime 1,1440.699951171875,1407.219970703125,-0.023238690638891946,2
2007-11-26,2007-11-27,2,Regime 2,1407.219970703125,1428.22998046875,0.014930153212029174,2
2007-11-27,2007-12-11,1,Regime 1,1428.22998046875,1477.6500244140625,0.03460230118478025,11
2007-12-11,2007-12-12,0,Regime 0,1477.6500244140625,1486.5899658203125,0.006050107439882435,2
2007-12-12,2007-12-14,1,Regime 1,1486.5899658203125,1467.949951171875,-0.012538773351770782,3
2007-12-14,2007-12-18,0,Regime 0,1467.949951171875,1454.97998046875,-0.008835431134945004,3
2007-12-18,2007-12-19,1,Regime 1,1454.97998046875,1453.0,-0.0013608300425632658,2
2007-12-19,2007-12-21,0,Regime 0,1453.0,1484.4599609375,0.02165172810564342,3
2007-12-21,2007-12-27,1,Regime 1,1484.4599609375,1476.27001953125,-0.005517118428089995,4
2007-12-27,2008-01-10,0,Regime 0,1476.27001953125,1420.3299560546875,-0.03789283988462,10
2008-01-10,2008-01-11,1,Regime 1,1420.3299560546875,1401.02001953125,-0.013595387776707546,2
2008-01-11,2008-01-14,0,Regime 0,1401.02001953125,1416.25,0.01087063729028337,2
2008-01-14,2008-01-15,1,Regime 1,1416.25,1380.949951171875,-0.024925012411738723,2
2008-01-15,2008-01-17,0,Regime 0,1380.949951171875,1333.25,-0.034541404727518765,3
2008-01-17,2008-01-18,2,Regime 2,1333.25,1325.18994140625,-0.006045421784173999,2
2008-01-18,2008-01-22,0,Regime 0,1325.18994140625,1310.5,-0.011085159151345114,2
2008-01-22,2008-01-23,2,Regime 2,1310.5,1338.5999755859375,0.021442179004912187,2
2008-01-23,2008-03-19,1,Regime 1,1338.5999755859375,1298.4200439453125,-0.03001638456106892,40
2008-03-19,2008-03-20,2,Regime 2,1298.4200439453125,1329.510009765625,0.0239444592412823,2
2008-03-20,2008-05-20,1,Regime 1,1329.510009765625,1413.4000244140625,0.0630984453161254,43
2008-05-20,2008-05-22,0,Regime 0,1413.4000244140625,1394.3499755859375,-0.013478172137447286,3
2008-05-22,2008-05-23,1,Regime 1,1394.3499755859375,1375.9300537109375,-0.013210400686713863,2
2008-05-23,2008-05-27,0,Regime 0,1375.9300537109375,1385.3499755859375,0.006846221470047986,2
2008-05-27,2008-06-06,1,Regime 1,1385.3499755859375,1360.6800537109375,-0.01780771812881854,9
2008-06-06,2008-06-09,0,Regime 0,1360.6800537109375,1361.760009765625,0.0007936884587542714,2
2008-06-09,2008-06-11,1,Regime 1,1361.760009765625,1335.489990234375,-0.019291225577825144,3
2008-06-11,2008-06-12,0,Regime 0,1335.489990234375,1339.8699951171875,0.0032796987733647587,2
2008-06-12,2008-06-20,1,Regime 1,1339.8699951171875,1317.9300537109375,-0.016374679249632096,7
