start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2005-01-26,2007-07-27,0,Risk-On (Inverted),1174.0699462890625,1458.949951171875,0.24264312853186132,630
2007-07-27,2007-07-30,1,Risk-Off,1458.949951171875,1473.9100341796875,0.010254006997153065,2
2007-07-30,2007-08-03,0,Risk-On (Inverted),1473.9100341796875,1433.06005859375,-0.027715379255608852,5
2007-08-03,2007-08-06,1,Risk-Off,1433.06005859375,1467.6700439453125,0.024151105980530163,2
2007-08-06,2007-08-09,0,Risk-On (Inverted),1467.6700439453125,1453.0899658203125,-0.009934166187521742,4
2007-08-09,2007-08-10,1,Risk-Off,1453.0899658203125,1453.6400146484375,0.0003785373521689728,2
2007-08-10,2007-08-14,0,Risk-On (Inverted),1453.6400146484375,1426.5400390625,-0.018642838194359745,3
2007-08-14,2007-08-17,1,Risk-Off,1426.5400390625,1445.93994140625,0.013599269429899197,4
2007-08-17,2007-08-28,0,Risk-On (Inverted),1445.93994140625,1432.3599853515625,-0.009391784309851992,8
2007-08-28,2007-08-29,1,Risk-Off,1432.3599853515625,1463.760009765625,0.021921880487575596,2
2007-08-29,2007-11-07,0,Risk-On (Inverted),1463.760009765625,1475.6199951171875,0.008102411100479268,50
2007-11-07,2007-11-08,1,Risk-Off,1475.6199951171875,1474.77001953125,-0.0005760125159255391,2
2007-11-08,2007-11-09,0,Risk-On (Inverted),1474.77001953125,1453.699951171875,-0.014287019725334527,2
2007-11-09,2007-11-13,1,Risk-Off,1453.699951171875,1481.050048828125,0.018814128482430137,3
2007-11-13,2007-11-15,0,Risk-On (Inverted),1481.050048828125,1451.1500244140625,-0.020188395684346272,3
2007-11-15,2007-11-16,1,Risk-Off,1451.1500244140625,1458.739990234375,0.005230310920731451,2
2007-11-16,2007-11-19,0,Risk-On (Inverted),1458.739990234375,1433.27001953125,-0.017460253968243356,2
2007-11-19,2007-11-20,1,Risk-Off,1433.27001953125,1439.699951171875,0.004486196985218349,2
2007-11-20,2007-11-21,0,Risk-On (Inverted),1439.699951171875,1416.77001953125,-0.015926882279853283,2
2007-11-21,2007-11-23,1,Risk-Off,1416.77001953125,1440.699951171875,0.01689048420755146,2
2007-11-23,2007-11-26,2,Risk-On (Steepening),1440.699951171875,1407.219970703125,-0.023238690638891946,2
2007-11-26,2007-11-27,1,Risk-Off,1407.219970703125,1428.22998046875,0.014930153212029174,2
2007-11-27,2007-12-14,2,Risk-On (Steepening),1428.22998046875,1467.949951171875,0.027810626612171152,14
2007-12-14,2007-12-17,0,Risk-On (Inverted),1467.949951171875,1445.9000244140625,-0.015020898185397868,2
2007-12-17,2007-12-18,1,Risk-Off,1445.9000244140625,1454.97998046875,0.006279795215002659,2
2007-12-18,2007-12-19,2,Risk-On (Steepening),1454.97998046875,1453.0,-0.0013608300425632658,2
2007-12-19,2007-12-21,0,Risk-On (Inverted),1453.0,1484.4599609375,0.02165172810564342,3
2007-12-21,2007-12-27,2,Risk-On (Steepening),1484.4599609375,1476.27001953125,-0.005517118428089995,4
2007-12-27,2007-12-28,0,Risk-On (Inverted),1476.27001953125,1478.489990234375,0.0015037700920255137,2
2007-12-28,2007-12-31,2,Risk-On (Steepening),1478.489990234375,1468.3599853515625,-0.006851588410961562,2
2007-12-31,2008-01-02,0,Risk-On (Inverted),1468.3599853515625,1447.1600341796875,-0.014437843160646446,2
2008-01-02,2008-01-03,1,Risk-Off,1447.1600341796875,1447.1600341796875,0.0,2
2008-01-03,2008-01-04,0,Risk-On (Inverted),1447.1600341796875,1411.6300048828125,-0.024551555085623233,2
2008-01-04,2008-01-07,1,Risk-Off,1411.6300048828125,1416.1800537109375,0.0032232587947169655,2
2008-01-07,2008-01-08,0,Risk-On (Inverted),1416.1800537109375,1390.18994140625,-0.018352265474000595,2
2008-01-08,2008-01-09,1,Risk-Off,1390.18994140625,1409.1300048828125,0.013624083236714934,2
2008-01-09,2008-01-15,2,Risk-On (Steepening),1409.1300048828125,1380.949951171875,-0.019998192936982462,5
2008-01-15,2008-01-16,1,Risk-Off,1380.949951171875,1373.199951171875,-0.005612078839948742,2
2008-01-16,2008-01-17,2,Risk-On (Steepening),1373.199951171875,1333.25,-0.02909259582902124,2
2008-01-17,2008-01-23,1,Risk-Off,1333.25,1338.5999755859375,0.004012732485233483,4
2008-01-23,2008-01-25,2,Risk-On (Steepening),1338.5999755859375,1330.6099853515625,-0.00596891556857948,3
2008-01-25,2008-01-28,1,Risk-Off,1330.6099853515625,1353.9599609375,0.01754832433469833,2
2008-01-28,2008-02-05,2,Risk-On (Steepening),1353.9599609375,1336.6400146484375,-0.01279206681789169,7
2008-02-05,2008-02-07,1,Risk-Off,1336.6400146484375,1336.9100341796875,0.00020201365236016677,3
2008-02-07,2008-02-08,2,Risk-On (Steepening),1336.9100341796875,1331.2900390625,-0.004203719751894819,2
2008-02-08,2008-02-11,1,Risk-Off,1331.2900390625,1339.1300048828125,0.005888999083801139,2
2008-02-11,2008-02-29,2,Risk-On (Steepening),1339.1300048828125,1330.6300048828125,-0.00634740463510397,14
2008-02-29,2008-03-03,1,Risk-Off,1330.6300048828125,1331.3399658203125,0.0005335524788219193,2
2008-03-03,2008-03-06,2,Risk-On (Steepening),1331.3399658203125,1304.3399658203125,-0.02028031959767973,4
2008-03-06,2008-03-07,1,Risk-Off,1304.3399658203125,1293.3699951171875,-0.008410361554953893,2
2008-03-07,2008-03-10,2,Risk-On (Steepening),1293.3699951171875,1273.3699951171875,-0.01546347918654778,2
2008-03-10,2008-03-11,1,Risk-Off,1273.3699951171875,1320.6500244140625,0.037129844018763736,2
2008-03-11,2008-03-12,2,Risk-On (Steepening),1320.6500244140625,1308.77001953125,-0.008995573894062803,2
2008-03-12,2008-03-13,1,Risk-Off,1308.77001953125,1315.47998046875,0.005126921336342294,2
2008-03-13,2008-03-14,2,Risk-On (Steepening),1315.47998046875,1288.1400146484375,-0.02078326255529206,2
2008-03-14,2008-03-18,1,Risk-Off,1288.1400146484375,1330.739990234375,0.03307092016512203,3
2008-03-18,2008-03-19,2,Risk-On (Steepening),1330.739990234375,1298.4200439453125,-0.02428719849575589,2
2008-03-19,2008-03-20,1,Risk-Off,1298.4200439453125,1329.510009765625,0.0239444592412823,2
2008-03-20,2008-03-28,2,Risk-On (Steepening),1329.510009765625,1315.219970703125,-0.010748350112098182,6
2008-03-28,2008-03-31,1,Risk-Off,1315.219970703125,1322.699951171875,0.0056872467232620405,2
2008-03-31,2008-04-11,2,Risk-On (Steepening),1322.699951171875,1332.8299560546875,0.007658581127063302,10
2008-04-11,2008-04-14,1,Risk-Off,1332.8299560546875,1328.3199462890625,-0.0033837848145122917,2
2008-04-14,2008-06-06,2,Risk-On (Steepening),1328.3199462890625,1360.6800537109375,0.024361681470100427,39
2008-06-06,2008-06-09,1,Risk-Off,1360.6800537109375,1361.760009765625,0.0007936884587542714,2
2008-06-09,2008-06-26,2,Risk-On (Steepening),1361.760009765625,1283.1500244140625,-0.057726754191505636,14
2008-06-26,2008-06-27,1,Risk-Off,1283.1500244140625,1278.3800048828125,-0.0037174293266512004,2
2008-06-27,2008-07-02,2,Risk-On (Steepening),1278.3800048828125,1261.52001953125,-0.01318855527086249,4
2008-07-02,2008-07-03,1,Risk-Off,1261.52001953125,1262.9000244140625,0.0010939223012293997,2
2008-07-03,2008-07-09,2,Risk-On (Steepening),1262.9000244140625,1244.68994140625,-0.014419259367946635,4
2008-07-09,2008-07-10,1,Risk-Off,1244.68994140625,1253.3900146484375,0.0069897513852792414,2
2008-07-10,2008-07-11,2,Risk-On (Steepening),1253.3900146484375,1239.489990234375,-0.011089943474586694,2
2008-07-11,2008-07-16,1,Risk-Off,1239.489990234375,1245.3599853515625,0.004735814862109278,4
2008-07-16,2008-08-18,2,Risk-On (Steepening),1245.3599853515625,1278.5999755859375,0.02669106975120239,24
2008-08-18,2008-08-19,1,Risk-Off,1278.5999755859375,1266.68994140625,-0.009314902555218274,2
2008-08-19,2008-09-04,2,Risk-On (Steepening),1266.68994140625,1236.8299560546875,-0.023573239492541198,12
2008-09-04,2008-09-05,1,Risk-Off,1236.8299560546875,1242.31005859375,0.004430764724152825,2
2008-09-05,2008-09-09,2,Risk-On (Steepening),1242.31005859375,1224.510009765625,-0.014328185387369352,3
2008-09-09,2008-09-10,1,Risk-Off,1224.510009765625,1232.0400390625,0.006149422411268146,2
2008-09-10,2008-09-15,2,Risk-On (Steepening),1232.0400390625,1192.699951171875,-0.03193085179322597,4
2008-09-15,2008-09-19,1,Risk-Off,1192.699951171875,1255.0799560546875,0.05230150703160641,5
2008-09-19,2008-09-22,2,Risk-On (Steepening),1255.0799560546875,1207.0899658203125,-0.038236599989398545,2
2008-09-22,2009-01-02,1,Risk-Off,1207.0899658203125,931.7999877929688,-0.22806086192611386,72
2009-01-02,2009-01-07,2,Risk-On (Steepening),931.7999877929688,906.6500244140625,-0.02699073160375931,4
2009-01-07,2009-01-27,1,Risk-Off,906.6500244140625,845.7100219726562,-0.06721447173708484,14
2009-01-27,2009-01-29,2,Risk-On (Steepening),845.7100219726562,845.1400146484375,-0.0006739985449021324,3
2009-01-29,2009-02-06,1,Risk-Off,845.1400146484375,868.5999755859375,0.027758667831221828,7
2009-02-06,2009-02-10,2,Risk-On (Steepening),868.5999755859375,827.1599731445312,-0.047708961093916424,3
2009-02-10,2009-03-10,1,Risk-Off,827.1599731445312,719.5999755859375,-0.1300353027839266,20
2009-03-10,2009-03-11,2,Risk-On (Steepening),719.5999755859375,721.3599853515625,0.002445816877900686,2
2009-03-11,2009-03-12,1,Risk-Off,721.3599853515625,750.739990234375,0.04072863130673077,2
2009-03-12,2009-03-19,2,Risk-On (Steepening),750.739990234375,784.0399780273438,0.04435621949827495,6
2009-03-19,2009-03-23,1,Risk-Off,784.0399780273438,822.9199829101562,0.049589314285523045,3
2009-03-23,2009-03-24,2,Risk-On (Steepening),822.9199829101562,806.1199951171875,-0.020415092769478838,2
2009-03-24,2009-04-09,1,Risk-Off,806.1199951171875,856.5599975585938,0.06257133273821558,13
2009-04-09,2009-04-13,2,Risk-On (Steepening),856.5599975585938,858.72998046875,0.0025333694269418228,2
2009-04-13,2009-04-15,1,Risk-Off,858.72998046875,852.0599975585938,-0.007767264520699868,3
2009-04-15,2009-04-17,2,Risk-On (Steepening),852.0599975585938,869.5999755859375,0.020585379054997244,3
2009-04-17,2009-04-21,1,Risk-Off,869.5999755859375,850.0800170898438,-0.0224470550185345,3
2009-04-21,2009-04-22,2,Risk-On (Steepening),850.0800170898438,843.5499877929688,-0.007681664273476052,2
2009-04-22,2009-04-24,1,Risk-Off,843.5499877929688,866.22998046875,0.026886364772667815,3
2009-04-24,2009-04-27,2,Risk-On (Steepening),866.22998046875,857.510009765625,-0.0100665768903615,2
2009-04-27,2009-04-29,1,Risk-Off,857.510009765625,873.6400146484375,0.018810281744957358,3
2009-04-29,2009-05-11,2,Risk-On (Steepening),873.6400146484375,909.239990234375,0.04074902132346048,9
2009-05-11,2009-05-12,1,Risk-Off,909.239990234375,908.3499755859375,-0.0009788555914792552,2
2009-05-12,2009-05-13,2,Risk-On (Steepening),908.3499755859375,883.9199829101562,-0.02689491201893024,2
2009-05-13,2009-05-14,1,Risk-Off,883.9199829101562,893.0700073242188,0.010351643351174777,2
2009-05-14,2009-05-15,2,Risk-On (Steepening),893.0700073242188,882.8800048828125,-0.01141008247711417,2
2009-05-15,2009-05-18,1,Risk-Off,882.8800048828125,909.7100219726562,0.030389200051489373,2
2009-05-18,2009-06-15,2,Risk-On (Steepening),909.7100219726562,923.719970703125,0.01540045552107805,20
