start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2005-01-25,2007-07-26,0,Risk-On (Inverted),1168.4100341796875,1482.6600341796875,0.2689552390061656,913
2007-07-27,2007-07-27,1,Risk-Off,1458.949951171875,1458.949951171875,0.0,1
2007-07-30,2007-08-02,0,Risk-On (Inverted),1473.9100341796875,1472.199951171875,-0.0011602356779966128,4
2007-08-03,2007-08-03,1,Risk-Off,1433.06005859375,1433.06005859375,0.0,1
2007-08-06,2007-08-08,0,Risk-On (Inverted),1467.6700439453125,1497.489990234375,0.020317881673800553,3
2007-08-09,2007-08-09,1,Risk-Off,1453.0899658203125,1453.0899658203125,0.0,1
2007-08-10,2007-08-13,0,Risk-On (Inverted),1453.6400146484375,1452.9200439453125,-0.0004952881702965373,4
2007-08-14,2007-08-16,1,Risk-Off,1426.5400390625,1411.27001953125,-0.010704234801068191,3
2007-08-17,2007-08-27,0,Risk-On (Inverted),1445.93994140625,1466.7900390625,0.014419753586702999,11
2007-08-28,2007-08-28,1,Risk-Off,1432.3599853515625,1432.3599853515625,0.0,1
2007-08-29,2007-11-06,0,Risk-On (Inverted),1463.760009765625,1520.27001953125,0.03860606205157446,70
2007-11-07,2007-11-07,1,Risk-Off,1475.6199951171875,1475.6199951171875,0.0,1
2007-11-08,2007-11-08,0,Risk-On (Inverted),1474.77001953125,1474.77001953125,0.0,1
2007-11-09,2007-11-12,1,Risk-Off,1453.699951171875,1439.1800537109375,-0.009988235501578235,4
2007-11-13,2007-11-14,0,Risk-On (Inverted),1481.050048828125,1470.5799560546875,-0.007069371343474851,2
2007-11-15,2007-11-15,1,Risk-Off,1451.1500244140625,1451.1500244140625,0.0,1
2007-11-16,2007-11-16,0,Risk-On (Inverted),1458.739990234375,1458.739990234375,0.0,1
2007-11-19,2007-11-19,1,Risk-Off,1433.27001953125,1433.27001953125,0.0,1
2007-11-20,2007-11-20,0,Risk-On (Inverted),1439.699951171875,1439.699951171875,0.0,1
2007-11-21,2007-11-21,1,Risk-Off,1416.77001953125,1416.77001953125,0.0,1
2007-11-23,2007-11-23,2,Risk-On (Steepening),1440.699951171875,1440.699951171875,0.0,1
2007-11-26,2007-11-26,1,Risk-Off,1407.219970703125,1407.219970703125,0.0,1
2007-11-27,2007-12-13,2,Risk-On (Steepening),1428.22998046875,1488.4100341796875,0.04213610870371598,17
2007-12-14,2007-12-14,0,Risk-On (Inverted),1467.949951171875,1467.949951171875,0.0,1
2007-12-17,2007-12-17,1,Risk-Off,1445.9000244140625,1445.9000244140625,0.0,1
2007-12-18,2007-12-18,2,Risk-On (Steepening),1454.97998046875,1454.97998046875,0.0,1
2007-12-19,2007-12-20,0,Risk-On (Inverted),1453.0,1460.1199951171875,0.004900203108869627,2
2007-12-21,2007-12-26,2,Risk-On (Steepening),1484.4599609375,1497.6600341796875,0.00889217196121006,6
2007-12-27,2007-12-27,0,Risk-On (Inverted),1476.27001953125,1476.27001953125,0.0,1
2007-12-28,2007-12-28,2,Risk-On (Steepening),1478.489990234375,1478.489990234375,0.0,1
2007-12-31,2007-12-31,0,Risk-On (Inverted),1468.3599853515625,1468.3599853515625,0.0,1
2008-01-02,2008-01-02,1,Risk-Off,1447.1600341796875,1447.1600341796875,0.0,1
2008-01-03,2008-01-03,0,Risk-On (Inverted),1447.1600341796875,1447.1600341796875,0.0,1
2008-01-04,2008-01-04,1,Risk-Off,1411.6300048828125,1411.6300048828125,0.0,1
2008-01-07,2008-01-07,0,Risk-On (Inverted),1416.1800537109375,1416.1800537109375,0.0,1
2008-01-08,2008-01-08,1,Risk-Off,1390.18994140625,1390.18994140625,0.0,1
2008-01-09,2008-01-14,2,Risk-On (Steepening),1409.1300048828125,1416.25,0.005052759569745824,6
2008-01-15,2008-01-15,1,Risk-Off,1380.949951171875,1380.949951171875,0.0,1
2008-01-16,2008-01-16,2,Risk-On (Steepening),1373.199951171875,1373.199951171875,0.0,1
2008-01-17,2008-01-22,1,Risk-Off,1333.25,1310.5,-0.017063566472904523,6
2008-01-23,2008-01-24,2,Risk-On (Steepening),1338.5999755859375,1352.0699462890625,0.01006273042641359,2
2008-01-25,2008-01-25,1,Risk-Off,1330.6099853515625,1330.6099853515625,0.0,1
2008-01-28,2008-02-04,2,Risk-On (Steepening),1353.9599609375,1380.8199462890625,0.019838094276410034,8
2008-02-05,2008-02-06,1,Risk-Off,1336.6400146484375,1326.449951171875,-0.007623640894248274,2
2008-02-07,2008-02-07,2,Risk-On (Steepening),1336.9100341796875,1336.9100341796875,0.0,1
2008-02-08,2008-02-08,1,Risk-Off,1331.2900390625,1331.2900390625,0.0,1
2008-02-11,2008-02-28,2,Risk-On (Steepening),1339.1300048828125,1367.6800537109375,0.021319848501657246,18
2008-02-29,2008-02-29,1,Risk-Off,1330.6300048828125,1330.6300048828125,0.0,1
2008-03-03,2008-03-05,2,Risk-On (Steepening),1331.3399658203125,1333.699951171875,0.0017726391546493137,3
2008-03-06,2008-03-06,1,Risk-Off,1304.3399658203125,1304.3399658203125,0.0,1
2008-03-07,2008-03-07,2,Risk-On (Steepening),1293.3699951171875,1293.3699951171875,0.0,1
2008-03-10,2008-03-10,1,Risk-Off,1273.3699951171875,1273.3699951171875,0.0,1
2008-03-11,2008-03-11,2,Risk-On (Steepening),1320.6500244140625,1320.6500244140625,0.0,1
2008-03-12,2008-03-12,1,Risk-Off,1308.77001953125,1308.77001953125,0.0,1
2008-03-13,2008-03-13,2,Risk-On (Steepening),1315.47998046875,1315.47998046875,0.0,1
2008-03-14,2008-03-17,1,Risk-Off,1288.1400146484375,1276.5999755859375,-0.00895868378535658,4
2008-03-18,2008-03-18,2,Risk-On (Steepening),1330.739990234375,1330.739990234375,0.0,1
2008-03-19,2008-03-19,1,Risk-Off,1298.4200439453125,1298.4200439453125,0.0,1
2008-03-20,2008-03-27,2,Risk-On (Steepening),1329.510009765625,1325.760009765625,-0.0028205880154758,8
2008-03-28,2008-03-28,1,Risk-Off,1315.219970703125,1315.219970703125,0.0,1
2008-03-31,2008-04-10,2,Risk-On (Steepening),1322.699951171875,1360.550048828125,0.028615785176914654,11
2008-04-11,2008-04-11,1,Risk-Off,1332.8299560546875,1332.8299560546875,0.0,1
2008-04-14,2008-06-05,2,Risk-On (Steepening),1328.3199462890625,1404.050048828125,0.057011944110777035,53
2008-06-06,2008-06-06,1,Risk-Off,1360.6800537109375,1360.6800537109375,0.0,1
2008-06-09,2008-06-25,2,Risk-On (Steepening),1361.760009765625,1321.969970703125,-0.029219567895335974,17
2008-06-26,2008-06-26,1,Risk-Off,1283.1500244140625,1283.1500244140625,0.0,1
2008-06-27,2008-07-01,2,Risk-On (Steepening),1278.3800048828125,1284.9100341796875,0.0051080502447888865,5
2008-07-02,2008-07-02,1,Risk-Off,1261.52001953125,1261.52001953125,0.0,1
2008-07-03,2008-07-08,2,Risk-On (Steepening),1262.9000244140625,1273.699951171875,0.00855168782091309,6
2008-07-09,2008-07-09,1,Risk-Off,1244.68994140625,1244.68994140625,0.0,1
2008-07-10,2008-07-10,2,Risk-On (Steepening),1253.3900146484375,1253.3900146484375,0.0,1
2008-07-11,2008-07-15,1,Risk-Off,1239.489990234375,1214.9100341796875,-0.019830701537202122,5
2008-07-16,2008-08-15,2,Risk-On (Steepening),1245.3599853515625,1298.199951171875,0.042429471351125736,31
2008-08-18,2008-08-18,1,Risk-Off,1278.5999755859375,1278.5999755859375,0.0,1
2008-08-19,2008-09-03,2,Risk-On (Steepening),1266.68994140625,1274.97998046875,0.00654464742437022,16
2008-09-04,2008-09-04,1,Risk-Off,1236.8299560546875,1236.8299560546875,0.0,1
2008-09-05,2008-09-08,2,Risk-On (Steepening),1242.31005859375,1267.7900390625,0.02051016192977806,4
2008-09-09,2008-09-09,1,Risk-Off,1224.510009765625,1224.510009765625,0.0,1
2008-09-10,2008-09-12,2,Risk-On (Steepening),1232.0400390625,1251.699951171875,0.015957202271068116,3
2008-09-15,2008-09-18,1,Risk-Off,1192.699951171875,1206.510009765625,0.011578820457048833,4
2008-09-19,2008-09-19,2,Risk-On (Steepening),1255.0799560546875,1255.0799560546875,0.0,1
2008-09-22,2008-12-31,1,Risk-Off,1207.0899658203125,903.25,-0.25171277570336636,101
2009-01-02,2009-01-06,2,Risk-On (Steepening),931.7999877929688,934.7000122070312,0.003112282090635521,5
2009-01-07,2009-01-26,1,Risk-Off,906.6500244140625,836.5700073242188,-0.0772955552889707,20
2009-01-27,2009-01-28,2,Risk-On (Steepening),845.7100219726562,874.0900268554688,0.03355760738960489,2
2009-01-29,2009-02-05,1,Risk-Off,845.1400146484375,845.8499755859375,0.000840051263926167,8
2009-02-06,2009-02-09,2,Risk-On (Steepening),868.5999755859375,869.8900146484375,0.0014851935283901607,4
2009-02-10,2009-03-09,1,Risk-Off,827.1599731445312,676.530029296875,-0.18210497211926424,28
2009-03-10,2009-03-10,2,Risk-On (Steepening),719.5999755859375,719.5999755859375,0.0,1
2009-03-11,2009-03-11,1,Risk-Off,721.3599853515625,721.3599853515625,0.0,1
2009-03-12,2009-03-18,2,Risk-On (Steepening),750.739990234375,794.3499755859375,0.05808933308314623,7
2009-03-19,2009-03-20,1,Risk-Off,784.0399780273438,768.5399780273438,-0.01976940007446848,2
2009-03-23,2009-03-23,2,Risk-On (Steepening),822.9199829101562,822.9199829101562,0.0,1
2009-03-24,2009-04-08,1,Risk-Off,806.1199951171875,825.1599731445312,0.023619285146966096,16
2009-04-09,2009-04-09,2,Risk-On (Steepening),856.5599975585938,856.5599975585938,0.0,1
2009-04-13,2009-04-14,1,Risk-Off,858.72998046875,841.5,-0.02006449158715151,2
2009-04-15,2009-04-16,2,Risk-On (Steepening),852.0599975585938,865.2999877929688,0.015538800404093056,2
2009-04-17,2009-04-20,1,Risk-Off,869.5999755859375,832.3900146484375,-0.04278974468970964,4
2009-04-21,2009-04-21,2,Risk-On (Steepening),850.0800170898438,850.0800170898438,0.0,1
2009-04-22,2009-04-23,1,Risk-Off,843.5499877929688,851.9199829101562,0.009922346320087705,2
2009-04-24,2009-04-24,2,Risk-On (Steepening),866.22998046875,866.22998046875,0.0,1
2009-04-27,2009-04-28,1,Risk-Off,857.510009765625,855.1599731445312,-0.0027405354973477625,2
2009-04-29,2009-05-08,2,Risk-On (Steepening),873.6400146484375,929.22998046875,0.06363028809146587,10
2009-05-11,2009-05-11,1,Risk-Off,909.239990234375,909.239990234375,0.0,1
2009-05-12,2009-05-12,2,Risk-On (Steepening),908.3499755859375,908.3499755859375,0.0,1
2009-05-13,2009-05-13,1,Risk-Off,883.9199829101562,883.9199829101562,0.0,1
2009-05-14,2009-05-14,2,Risk-On (Steepening),893.0700073242188,893.0700073242188,0.0,1
2009-05-15,2009-05-15,1,Risk-Off,882.8800048828125,882.8800048828125,0.0,1
2009-05-18,2009-06-12,2,Risk-On (Steepening),909.7100219726562,946.2100219726562,0.040122675488230675,26
2009-06-15,2009-06-17,1,Risk-Off,923.719970703125,910.7100219726562,-0.014084299509694143,3
2009-06-18,2009-06-19,2,Risk-On (Steepening),918.3699951171875,921.22998046875,0.003114197291689047,2
2009-06-22,2009-06-23,1,Risk-Off,893.0399780273438,895.0999755859375,0.0023067249051313965,2
2009-06-24,2009-07-01,2,Risk-On (Steepening),900.9400024414062,923.3300170898438,0.024851837622665185,8
2009-07-02,2009-07-02,1,Risk-Off,896.4199829101562,896.4199829101562,0.0,1
2009-07-06,2009-07-06,2,Risk-On (Steepening),898.719970703125,898.719970703125,0.0,1
2009-07-07,2009-07-10,1,Risk-Off,881.030029296875,879.1300048828125,-0.0021565943848461666,4
2009-07-13,2009-08-14,2,Risk-On (Steepening),901.0499877929688,1004.0900268554688,0.11435551907046371,33
2009-08-17,2009-08-17,1,Risk-Off,979.72998046875,979.72998046875,0.0,1
2009-08-18,2009-08-31,2,Risk-On (Steepening),989.6699829101562,1020.6199951171875,0.03127306348730685,14
2009-09-01,2009-09-02,1,Risk-Off,998.0399780273438,994.75,-0.003296439120451411,2
2009-09-03,2009-09-30,2,Risk-On (Steepening),1003.239990234375,1057.0799560546875,0.05366608821856733,28
2009-10-01,2009-10-01,1,Risk-Off,1029.8499755859375,1029.8499755859375,0.0,1
2009-10-02,2009-10-27,2,Risk-On (Steepening),1025.2099609375,1063.4100341796875,0.037260731652719814,26
2009-10-28,2009-10-28,1,Risk-Off,1042.6300048828125,1042.6300048828125,0.0,1
2009-10-29,2009-10-29,2,Risk-On (Steepening),1066.1099853515625,1066.1099853515625,0.0,1
2009-10-30,2009-10-30,1,Risk-Off,1036.18994140625,1036.18994140625,0.0,1
2009-11-02,2010-01-21,2,Risk-On (Steepening),1042.8800048828125,1116.47998046875,0.07057377190217373,81
2010-01-22,2010-01-22,1,Risk-Off,1091.760009765625,1091.760009765625,0.0,1
2010-01-25,2010-02-03,2,Risk-On (Steepening),1096.780029296875,1097.280029296875,0.00045587992728179927,10
2010-02-04,2010-02-04,1,Risk-Off,1063.1099853515625,1063.1099853515625,0.0,1
2010-02-05,2010-05-05,2,Risk-On (Steepening),1066.18994140625,1165.8699951171875,0.09349183465327449,90
2010-05-06,2010-05-07,1,Risk-Off,1128.1500244140625,1110.8800048828125,-0.015308264998017185,2
2010-05-10,2010-05-10,2,Risk-On (Steepening),1159.72998046875,1159.72998046875,0.0,1
2010-05-11,2010-05-11,1,Risk-Off,1155.7900390625,1155.7900390625,0.0,1
2010-05-12,2010-05-13,2,Risk-On (Steepening),1171.6700439453125,1157.43994140625,-0.012145144968583543,2
2010-05-14,2010-05-26,1,Risk-Off,1135.6800537109375,1067.949951171875,-0.059638365856429565,13
2010-05-27,2010-05-27,2,Risk-On (Steepening),1103.06005859375,1103.06005859375,0.0,1
2010-05-28,2010-06-01,1,Risk-Off,1089.4100341796875,1070.7099609375,-0.01716532127985071,5
2010-06-02,2010-06-03,2,Risk-On (Steepening),1098.3800048828125,1102.8299560546875,0.004051376711240895,2
2010-06-04,2010-06-09,1,Risk-Off,1064.8800048828125,1055.68994140625,-0.008630139954194926,6
2010-06-10,2010-06-21,2,Risk-On (Steepening),1086.8399658203125,1113.199951171875,0.024253787292103146,12
2010-06-22,2010-07-06,1,Risk-Off,1095.31005859375,1028.06005859375,-0.06139813970698049,15
2010-07-07,2010-07-15,2,Risk-On (Steepening),1060.27001953125,1096.47998046875,0.034151640874942935,9
2010-07-16,2010-07-16,1,Risk-Off,1064.8800048828125,1064.8800048828125,0.0,1
2010-07-19,2010-07-20,2,Risk-On (Steepening),1071.25,1083.47998046875,0.011416551196032687,2
2010-07-21,2010-07-21,1,Risk-Off,1069.5899658203125,1069.5899658203125,0.0,1
2010-07-22,2010-08-10,2,Risk-On (Steepening),1093.6700439453125,1121.06005859375,0.02504412990012095,20
2010-08-11,2010-08-16,1,Risk-Off,1089.469970703125,1079.3800048828125,-0.009261352851975047,6
2010-08-17,2010-08-18,2,Risk-On (Steepening),1092.5400390625,1094.1600341796875,0.0014827787168125717,2
2010-08-19,2010-08-19,1,Risk-Off,1075.6300048828125,1075.6300048828125,0.0,1
2010-08-20,2010-08-23,2,Risk-On (Steepening),1071.68994140625,1067.3599853515625,-0.004040306703826824,4
2010-08-24,2010-08-26,1,Risk-Off,1051.8699951171875,1047.219970703125,-0.004420721605947531,3
2010-08-27,2010-08-27,2,Risk-On (Steepening),1064.5899658203125,1064.5899658203125,0.0,1
2010-08-30,2010-08-30,1,Risk-Off,1048.9200439453125,1048.9200439453125,0.0,1
2010-08-31,2011-03-15,2,Risk-On (Steepening),1049.3299560546875,1281.8699951171875,0.22160812023018317,197
2011-03-16,2011-03-16,1,Risk-Off,1256.8800048828125,1256.8800048828125,0.0,1
2011-03-17,2011-08-01,2,Risk-On (Steepening),1273.719970703125,1286.93994140625,0.01037902443802241,138
2011-08-02,2011-08-02,1,Risk-Off,1254.050048828125,1254.050048828125,0.0,1
2011-08-03,2011-08-03,2,Risk-On (Steepening),1260.3399658203125,1260.3399658203125,0.0,1
2011-08-04,2011-08-12,1,Risk-Off,1200.0699462890625,1178.81005859375,-0.01771554046583179,9
2011-08-15,2011-08-15,2,Risk-On (Steepening),1204.489990234375,1204.489990234375,0.0,1
2011-08-16,2011-08-26,1,Risk-Off,1192.760009765625,1176.800048828125,-0.013380697547561216,11
2011-08-29,2011-08-29,2,Risk-On (Steepening),1210.0799560546875,1210.0799560546875,0.0,1
2011-08-30,2011-09-14,1,Risk-Off,1212.9200439453125,1188.6800537109375,-0.019984821221626925,16
2011-09-15,2011-09-16,2,Risk-On (Steepening),1209.1099853515625,1216.010009765625,0.0057066970727697175,2
2011-09-19,2011-10-07,1,Risk-Off,1204.0899658203125,1155.4599609375,-0.04038735166245011,19
2011-10-10,2011-10-14,2,Risk-On (Steepening),1194.8900146484375,1224.5799560546875,0.024847426158285835,5
2011-10-17,2011-10-17,1,Risk-Off,1200.8599853515625,1200.8599853515625,0.0,1
2011-10-18,2011-10-18,2,Risk-On (Steepening),1225.3800048828125,1225.3800048828125,0.0,1
2011-10-19,2011-10-19,1,Risk-Off,1209.8800048828125,1209.8800048828125,0.0,1
2011-10-20,2011-10-24,2,Risk-On (Steepening),1215.3900146484375,1254.18994140625,0.031923848550817535,5
2011-10-25,2011-10-25,1,Risk-Off,1229.050048828125,1229.050048828125,0.0,1
2011-10-26,2011-10-28,2,Risk-On (Steepening),1242.0,1285.0899658203125,0.03469401434807762,3
2011-10-31,2011-11-02,1,Risk-Off,1253.300048828125,1237.9000244140625,-0.012287579840487561,3
2011-11-03,2011-11-03,2,Risk-On (Steepening),1261.1500244140625,1261.1500244140625,0.0,1
2011-11-04,2011-11-04,1,Risk-Off,1253.22998046875,1253.22998046875,0.0,1
2011-11-07,2011-11-08,2,Risk-On (Steepening),1261.1199951171875,1275.9200439453125,0.011735638864999398,2
2011-11-09,2011-11-10,1,Risk-Off,1229.0999755859375,1239.699951171875,0.008624176874533207,2
2011-11-11,2011-11-11,2,Risk-On (Steepening),1263.8499755859375,1263.8499755859375,0.0,1
2011-11-14,2011-11-25,1,Risk-Off,1251.780029296875,1158.6700439453125,-0.07438206647525958,12
2011-11-28,2011-12-07,2,Risk-On (Steepening),1192.550048828125,1261.010009765625,0.05740636294868562,10
2011-12-08,2011-12-08,1,Risk-Off,1234.3499755859375,1234.3499755859375,0.0,1
2011-12-09,2011-12-09,2,Risk-On (Steepening),1255.18994140625,1255.18994140625,0.0,1
2011-12-12,2011-12-14,1,Risk-Off,1236.469970703125,1211.8199462890625,-0.019935805153476704,3
2011-12-15,2011-12-15,2,Risk-On (Steepening),1215.75,1215.75,0.0,1
2011-12-16,2011-12-19,1,Risk-Off,1219.6600341796875,1205.3499755859375,-0.011732825699560245,4
2011-12-20,2012-04-09,2,Risk-On (Steepening),1241.300048828125,1382.199951171875,0.11350994666983971,112
2012-04-10,2012-04-10,1,Risk-Off,1358.5899658203125,1358.5899658203125,0.0,1
