,mean,std,min,p01,p50,p99,max,nan_pct
spx_ret_1d,-0.013143823720160265,1.054669416161043,-5.753501345856794,-3.083092657304017,0.02337805876572635,2.50237845577151,4.456362987405645,0.0
spx_ret_5d,-0.03184771741140726,1.0722415896462683,-7.775610429926462,-3.375853717326234,0.07209093720471843,2.3221893060018957,4.58283384734482,0.0
spx_mom_20d,-0.0555723859494293,1.0961000697751866,-7.094315347966631,-3.526225337919815,0.13864899072747958,2.054577149392821,3.0080033114513647,0.0
tlt_ret_1d,0.004115087779102007,1.025238988368344,-6.091041996576367,-2.4703780007515665,0.0429418065271137,2.5597500077164503,5.794907947549965,0.0
tlt_ret_5d,0.010773866665263872,1.03111781217947,-4.432632387019055,-2.5535305761255267,0.02558256825612346,2.565784068199761,5.723675795037394,0.0
tlt_mom_20d,0.014573757395337564,1.0563108809047572,-3.852724205482686,-2.3687985322083325,0.005487838978360334,2.7248835345216147,5.158142451475541,0.0
spx_vol_21d,0.03165090595734327,1.3174218336840926,-2.444203163888375,-1.785313779555593,-0.3023346249118847,4.650075045150159,7.106889517711076,0.0
spx_vol_63d,0.03069352507470558,1.4788405605318409,-3.2010822107000445,-2.239507598161507,-0.4624055593269888,4.483513492541103,7.419680815203603,0.0
vix_to_realized_21d,0.017620944195335483,1.0986524000508657,-2.8642594960665813,-1.9943175125118073,-0.11739490448728143,2.934978273211525,4.4498594820864,0.0
ddown_63d,-0.11946338673776313,1.280463074388467,-8.790733107582396,-4.254019532684011,0.36690688651973025,1.3196779494324142,1.7220906989958258,0.0
corr_spx_tlt_63d,0.045779303460468455,1.2849209052204609,-3.5435879752926103,-2.834370818163961,-0.019947806798253337,3.3130718991266734,5.7171546683570655,0.0
beta_spx_on_tlt_252d,0.11790139013810848,1.5109615480975478,-4.602646220739286,-2.964153720783619,0.1422980051645794,3.170075279777114,8.667433906211297,0.0
mom_diff_spx_tlt_63d,-0.09110465961681473,1.156312854383052,-5.632254006099865,-3.2734964410957725,0.08179906144181928,2.145230752020768,3.0961871081819927,0.0
curve_slope,-0.17758363633080843,1.5107771306678641,-3.396416486789198,-2.551945122566964,-0.5206995001245992,3.029914701006232,4.319260305405278,0.0
vix_level,-0.06340609214410407,1.3031669718959848,-2.311782100747646,-1.8144132547873506,-0.3897607878577919,4.6362079856768,11.851343339163044,0.0
spx_ret_1d_z,-0.013603827731640409,1.0793889732216133,-7.753441920892129,-3.2700486414117016,0.03339268479682057,2.622082324785602,5.982113941091411,0.0
spx_ret_5d_z,-0.028969223556292556,1.0830681702124143,-7.772389877387689,-3.3006275604580644,0.08126775444310708,2.395581437250729,3.902458768189617,0.0
spx_mom_20d_z,-0.048445245757091165,1.1117290257567014,-6.824019473033853,-3.6064754968376804,0.12796711437812466,2.1377751515627734,3.3067671847918008,0.0
tlt_mom_20d_z,0.011044408597958738,1.0763544348712428,-4.091567506262152,-2.5003170284790603,0.0008308377778022757,2.631601035790014,4.698896860283864,0.0
spx_vol_21d_z,0.08634018963275404,1.3002029647611966,-3.465757043422842,-2.1940160083826488,-0.22326187493142244,4.198934459292926,8.476386120979328,0.0
spx_vol_63d_z,0.1322746054344676,1.410426356267698,-4.267191893114299,-2.8129480364173216,-0.17369881335613868,4.274139814560897,10.046764587323558,0.0
vix_to_realized_21d_z,0.006294022095341211,1.1024345283118189,-2.774274288916178,-2.0634925716960755,-0.13693560468018603,2.976406305933265,4.987597023333824,0.0
ddown_63d_z,-0.12211432545617326,1.2798465636329466,-9.693133773371871,-4.694381432680575,0.31917878574024006,1.542806635837926,1.9442159482245662,0.0
corr_spx_tlt_63d_z,-0.0018086114094150554,1.2909193498887548,-5.969474331853172,-3.1223907110847136,0.01757588533469792,3.3464397800597983,5.690202212494125,0.0
beta_spx_on_tlt_252d_z,-0.15106434218619996,1.4287841420850877,-4.253247777204284,-2.9610554102032522,-0.16211948385052025,3.2921524107804787,9.705903386936592,0.0
mom_diff_spx_tlt_63d_z,-0.054186217944193454,1.1804727834693929,-5.171362025175383,-3.4201041585601857,0.09284338167922715,2.24213262953258,4.255543686389468,0.0
curve_slope_z,0.1314008585563657,1.3731315566946096,-5.374960956538833,-2.6870276720706854,0.12770915974632346,3.5504332251421467,5.0768898563524045,0.0
credit_spread_ret_21d,-0.045760721692904474,1.080322270162081,-5.790781417991506,-3.117882968311154,0.03542954214856435,2.3265997338729725,3.6436951123278467,17.658986175115206
uup_mom_63d,0.057623612464070585,1.201714832343506,-3.7946621362866235,-2.6668288979200865,0.023608218433203283,2.952513823428181,5.996348543845238,17.474654377880185
gld_mom_63d,0.06444924790121687,1.11473392061995,-4.091541164439001,-2.2583123379248193,0.01545008419095976,2.876455036345505,4.709303632299292,6.930875576036867
uso_mom_63d,-0.052427923185287606,1.3591108728667154,-11.313932044968306,-3.6433102858315145,0.10335423726180915,2.492642747972602,15.842979517754861,10.359447004608295
infl_breakeven_proxy_63d,-0.09988631241591067,1.2167390059470475,-6.28878934958164,-3.162397353258464,0.06614913519158554,2.16604618006024,4.233698360744238,2.9493087557603688
