,roll_mean_oos_last,z_vs_train
spx_ret_1d,-0.05291371732799857,-0.03888129943561697
spx_ret_5d,-0.08508198874269661,-0.05444000008772115
spx_mom_20d,-0.14294551139609182,-0.08812218546504023
tlt_ret_1d,-0.002054771054438842,-0.004861090560408324
tlt_ret_5d,0.03481097887530175,0.026183426370006476
tlt_mom_20d,0.053166124532792604,0.041257081912715654
spx_vol_21d,0.8563849044083401,0.6336382095270027
spx_vol_63d,1.7379859903053752,1.1977982009019847
vix_to_realized_21d,-0.036891751712293905,-0.04598386733190143
ddown_63d,-0.8329950050608295,-0.5670545405577381
corr_spx_tlt_63d,0.4511880328629257,0.32979869563273595
beta_spx_on_tlt_252d,-0.7287558730902082,-0.476819241363806
mom_diff_spx_tlt_63d,-0.26679156715288505,-0.16611552375658026
curve_slope,1.3742061806145627,1.069034487853113
vix_level,0.6864431834665753,0.5622856226559457
spx_ret_1d_z,-0.016278258455516503,-0.004993899303097173
spx_ret_5d_z,-0.003785923255898038,0.015907596012003675
spx_mom_20d_z,-0.004635026978706633,0.026584915030231502
tlt_mom_20d_z,0.10977967818531112,0.10551441434596479
spx_vol_21d_z,0.2162930264173963,0.10609431801129547
spx_vol_63d_z,0.5061247247770392,0.2848504156005937
vix_to_realized_21d_z,-0.011904899857828154,-0.01206211952040985
ddown_63d_z,-0.5595543623284948,-0.372086518298967
corr_spx_tlt_63d_z,0.8065933768118438,0.6092820707404947
beta_spx_on_tlt_252d_z,-0.2435201786571276,-0.06963144124381261
mom_diff_spx_tlt_63d_z,-0.04939427552845328,-0.01750609177829636
curve_slope_z,-0.3249850556156587,-0.33603463268785083
credit_spread_ret_21d,-0.2840621191750303,-0.21997437352052332
uup_mom_63d,-1.016191927412707,-0.876686478783975
gld_mom_63d,0.34902469400972336,0.2729446492259317
uso_mom_63d,-0.06817552592405265,-0.011113303493938517
infl_breakeven_proxy_63d,-0.19688433183927181,-0.09227707103815727
