,mean_train,mean_oos,mean_delta,mean_rel_delta,std_train,std_oos,std_delta,std_rel_delta
spx_ret_1d,-0.011713903465601774,-0.018863504738394227,-0.007149601272792454,-0.006747258345903113,1.0596305797500165,1.034567122676564,-0.025063457073452478,-0.02365301412815525
spx_ret_5d,-0.026808910245801485,-0.052002946073830346,-0.02519403582802886,-0.023536826062158702,1.070409228563512,1.0793047182825648,0.00889548971905274,0.008310363440149406
spx_mom_20d,-0.04659308646195401,-0.09148958389933042,-0.044896497437376406,-0.04106152467477169,1.093395771174589,1.1061225107239394,0.012726739549350441,0.01163964584907681
tlt_ret_1d,0.002945257322521985,0.008794409605422104,0.00584915228290012,0.005686619515963466,1.0285816145216666,1.0117445306789603,-0.016837083842706324,-0.016369224964745525
tlt_ret_5d,0.007766583295508136,0.022803000144286826,0.01503641684877869,0.01455772647116879,1.0328822208988426,1.0239414577542312,-0.008940763144611452,-0.008656130354176252
tlt_mom_20d,0.009536201667299989,0.03472398030748787,0.025187778640187883,0.023817925366525813,1.057513542954807,1.0512451056263452,-0.006268437328461829,-0.00592752439930664
spx_vol_21d,0.0373022570366312,0.009045501640191444,-0.028256755396439757,-0.021859283619174594,1.2926661224914713,1.4118852173632295,0.11921909487175819,0.0922272911755253
spx_vol_63d,0.011246117127125843,0.10848315686502474,0.0972370397378989,0.06745101162499594,1.4415949797536451,1.6169411372246696,0.17534615747102444,0.12163344069149674
vix_to_realized_21d,0.01322476155686991,0.03520567474919782,0.021980913192327912,0.020168350312829195,1.0898716479724044,1.1329245853257333,0.043052937353328824,0.03950275927759424
ddown_63d,-0.11356291049459499,-0.1430652917104358,-0.02950238121584081,-0.023253701568310636,1.2687176331550443,1.326142670020745,0.057425036865700774,0.04526226747782824
corr_spx_tlt_63d,0.025177057953759862,0.12818828548730296,0.1030112275335431,0.07974669780123203,1.291730320800213,1.2539340996503698,-0.03779622114984327,-0.029260148609369884
beta_spx_on_tlt_252d,-0.0023976406858391723,0.5990975134338989,0.6014951541197381,0.39485263644910806,1.523340858323644,1.3576882485497923,-0.16565260977385177,-0.10874297033964131
mom_diff_spx_tlt_63d,-0.07392696890021327,-0.1598154224832205,-0.08588845358300723,-0.0739762796326792,1.1610269401148121,1.1346635634410969,-0.026363376673715244,-0.022706946551221466
curve_slope,-0.2396474231470907,0.07067151093432054,0.31031893408141126,0.20555869627431195,1.5096366133170056,1.4896941306847624,-0.019942482632243186,-0.013210121201568595
vix_level,-0.04809916717187471,-0.1246337920330216,-0.0765346248611469,-0.0585865732008299,1.3063509381030458,1.2885354671990268,-0.017815470904019026,-0.013637584193026185
spx_ret_1d_z,-0.010983476903467975,-0.024085231044330153,-0.013101754140862178,-0.012357231404209298,1.0602499631429796,1.1527122431092816,0.09246227996630196,0.08720800111344404
spx_ret_5d_z,-0.020739778275833322,-0.061887004678129534,-0.04114722640229621,-0.03860794219677585,1.0657710320995148,1.149067996157754,0.08329696405823905,0.0781565285126471
spx_mom_20d_z,-0.0336199460723757,-0.10774644449595312,-0.07412649842357742,-0.06798868941848546,1.090276913080533,1.1918457763273012,0.10156886324676817,0.09315877647981144
tlt_mom_20d_z,-0.003274639575177883,0.06832060129050527,0.07159524086568315,0.06682035732509618,1.0714585155143077,1.093846535237359,0.022388019723051267,0.020894901108051634
spx_vol_21d_z,0.08352880153502798,0.0975857420236583,0.01405694048863032,0.011233157997103328,1.2513792196508904,1.4794190969133871,0.22803987726249675,0.18223083273359397
spx_vol_63d_z,0.11906884681491706,0.18509763991266948,0.06602879309775242,0.04859331746756472,1.3588039783829455,1.5992597301192926,0.24045575173634703,0.1769613244895729
vix_to_realized_21d_z,0.0011708138478282576,0.026786855085393,0.02561604123756474,0.02363035456440059,1.0840311840329138,1.1729407781266543,0.08890959409374055,0.08201756130572813
ddown_63d_z,-0.09210088901423981,-0.242168071223907,-0.1500671822096672,-0.11945140752391746,1.2563031723139773,1.3633889253656046,0.10708575305162737,0.08523878265338355
corr_spx_tlt_63d_z,0.03679435038294874,-0.1562204585788702,-0.19301480896181894,-0.1527677464511584,1.2634526164430133,1.3846696394506486,0.12121702300763526,0.0959410914426664
beta_spx_on_tlt_252d_z,-0.1407496971913626,-0.19232292216554947,-0.05157322497418687,-0.034943088066978635,1.47592064202602,1.2213213414608437,-0.2545993005651763,-0.1725020257292992
mom_diff_spx_tlt_63d_z,-0.029228560599674526,-0.1540168473222692,-0.12478828672259468,-0.10833016374264501,1.1519255802017292,1.2835077327640023,0.13158215256227312,0.11422799773161561
curve_slope_z,0.13906426770565544,0.10074722195920673,-0.038317045746448716,-0.0277467367066411,1.3809568365305331,1.3409361154489616,-0.04002072108157151,-0.02898042865852212
credit_spread_ret_21d,-0.044041385690245724,-0.05111997916847303,-0.007078593478227306,-0.006487394414525536,1.0911304332565401,1.045898138083432,-0.04523229517310812,-0.04145452623671195
uup_mom_63d,0.037051029882038906,0.12193900427812732,0.08488797439608842,0.07065809350917387,1.2013906713328886,1.2004558615828849,-0.0009348097500037067,-0.0007781063831356187
gld_mom_63d,0.039074350467338106,0.15715532479328634,0.11808097432594823,0.10398301143758804,1.1355794825852104,1.0297109975719902,-0.1058684850132201,-0.09322859970330263
uso_mom_63d,-0.052341960879065494,-0.052727246312390987,-0.00038528543332549264,-0.00027042513421166704,1.4247397323058077,1.1004601421541507,-0.3242795901516571,-0.2276061955728861
infl_breakeven_proxy_63d,-0.08239134509837813,-0.16728627867147372,-0.08489493357309559,-0.06842214566236092,1.2407522849695778,1.1168636844430038,-0.12388860052657402,-0.09984958482636336
