feature,violations,viol_pct,low,high
ddown_63d,4474,82.47004608294931,-1.0,0.0
spx_vol_21d,3265,60.184331797235025,0.0,
spx_vol_63d,3224,59.42857142857143,0.0,
vix_to_realized_21d,2945,54.285714285714285,0.0,
corr_spx_tlt_63d,2354,43.39170506912443,-1.0,1.0
ddown_63d_z,3,0.055299539170506916,-8.0,8.0
spx_vol_63d_z,2,0.03686635944700461,-8.0,8.0
beta_spx_on_tlt_252d_z,2,0.03686635944700461,-8.0,8.0
spx_vol_21d_z,1,0.018433179723502304,-8.0,8.0
spx_ret_1d_z,0,0.0,-8.0,8.0
spx_ret_5d_z,0,0.0,-8.0,8.0
spx_mom_20d_z,0,0.0,-8.0,8.0
tlt_mom_20d_z,0,0.0,-8.0,8.0
vix_to_realized_21d_z,0,0.0,-8.0,8.0
corr_spx_tlt_63d_z,0,0.0,-8.0,8.0
mom_diff_spx_tlt_63d_z,0,0.0,-8.0,8.0
curve_slope_z,0,0.0,-8.0,8.0
