anchor_date,train_start,train_end,pred_start,pred_end,k
2010-02-03,2010-01-04,2010-02-03,2010-02-04,2010-03-05,3
2010-03-05,2010-01-04,2010-03-05,2010-03-08,2010-04-06,3
2010-04-06,2010-01-04,2010-04-06,2010-04-07,2010-05-05,3
2010-05-05,2010-01-04,2010-05-05,2010-05-06,2010-06-04,3
2010-06-04,2010-01-04,2010-06-04,2010-06-07,2010-07-06,3
2010-07-06,2010-01-04,2010-07-06,2010-07-07,2010-08-04,3
2010-08-04,2010-01-04,2010-08-04,2010-08-05,2010-09-02,3
2010-09-02,2010-01-04,2010-09-02,2010-09-03,2010-10-04,3
2010-10-04,2010-01-04,2010-10-04,2010-10-05,2010-11-02,3
2010-11-02,2010-01-04,2010-11-02,2010-11-03,2010-12-02,3
2010-12-02,2010-01-04,2010-12-02,2010-12-03,2011-01-03,3
2011-01-03,2010-01-04,2011-01-03,2011-01-04,2011-02-02,3
2011-02-02,2010-01-04,2011-02-02,2011-02-03,2011-03-04,3
2011-03-04,2010-01-04,2011-03-04,2011-03-07,2011-04-04,3
2011-04-04,2010-01-04,2011-04-04,2011-04-05,2011-05-04,3
2011-05-04,2010-01-04,2011-05-04,2011-05-05,2011-06-03,3
2011-06-03,2010-01-04,2011-06-03,2011-06-06,2011-07-05,3
2011-07-05,2010-01-04,2011-07-05,2011-07-06,2011-08-03,3
2011-08-03,2010-01-04,2011-08-03,2011-08-04,2011-09-01,3
2011-09-01,2010-01-04,2011-09-01,2011-09-02,2011-10-03,3
2011-10-03,2010-01-04,2011-10-03,2011-10-04,2011-11-01,3
2011-11-01,2010-01-04,2011-11-01,2011-11-02,2011-12-01,3
2011-12-01,2010-01-04,2011-12-01,2011-12-02,2012-01-03,3
2012-01-03,2010-01-05,2012-01-03,2012-01-04,2012-02-02,3
2012-02-02,2010-02-04,2012-02-02,2012-02-03,2012-03-05,3
2012-03-05,2010-03-08,2012-03-05,2012-03-06,2012-04-03,3
2012-04-03,2010-04-07,2012-04-03,2012-04-04,2012-05-03,3
2012-05-03,2010-05-06,2012-05-03,2012-05-04,2012-06-04,3
2012-06-04,2010-06-07,2012-06-04,2012-06-05,2012-07-03,3
2012-07-03,2010-07-07,2012-07-03,2012-07-05,2012-08-02,3
2012-08-02,2010-08-05,2012-08-02,2012-08-03,2012-08-31,3
2012-08-31,2010-09-03,2012-08-31,2012-09-04,2012-10-02,3
2012-10-02,2010-10-05,2012-10-02,2012-10-03,2012-11-02,3
2012-11-02,2010-11-03,2012-11-02,2012-11-05,2012-12-04,3
2012-12-04,2010-12-03,2012-12-04,2012-12-05,2013-01-04,3
2013-01-04,2011-01-04,2013-01-04,2013-01-07,2013-02-05,3
2013-02-05,2011-02-03,2013-02-05,2013-02-06,2013-03-07,3
2013-03-07,2011-03-07,2013-03-07,2013-03-08,2013-04-08,3
2013-04-08,2011-04-05,2013-04-08,2013-04-09,2013-05-07,3
2013-05-07,2011-05-05,2013-05-07,2013-05-08,2013-06-06,3
2013-06-06,2011-06-06,2013-06-06,2013-06-07,2013-07-08,3
2013-07-08,2011-07-06,2013-07-08,2013-07-09,2013-08-06,3
2013-08-06,2011-08-04,2013-08-06,2013-08-07,2013-09-05,3
2013-09-05,2011-09-02,2013-09-05,2013-09-06,2013-10-04,3
2013-10-04,2011-10-04,2013-10-04,2013-10-07,2013-11-04,3
2013-11-04,2011-11-02,2013-11-04,2013-11-05,2013-12-04,3
2013-12-04,2011-12-02,2013-12-04,2013-12-05,2014-01-06,3
2014-01-06,2012-01-04,2014-01-06,2014-01-07,2014-02-05,3
2014-02-05,2012-02-03,2014-02-05,2014-02-06,2014-03-07,3
2014-03-07,2012-03-06,2014-03-07,2014-03-10,2014-04-07,3
2014-04-07,2012-04-04,2014-04-07,2014-04-08,2014-05-07,3
2014-05-07,2012-05-04,2014-05-07,2014-05-08,2014-06-06,3
2014-06-06,2012-06-05,2014-06-06,2014-06-09,2014-07-08,3
2014-07-08,2012-07-05,2014-07-08,2014-07-09,2014-08-06,3
2014-08-06,2012-08-03,2014-08-06,2014-08-07,2014-09-05,3
2014-09-05,2012-09-04,2014-09-05,2014-09-08,2014-10-06,3
2014-10-06,2012-10-03,2014-10-06,2014-10-07,2014-11-04,3
2014-11-04,2012-11-05,2014-11-04,2014-11-05,2014-12-04,3
2014-12-04,2012-12-05,2014-12-04,2014-12-05,2015-01-06,3
2015-01-06,2013-01-07,2015-01-06,2015-01-07,2015-02-05,3
2015-02-05,2013-02-06,2015-02-05,2015-02-06,2015-03-09,3
2015-03-09,2013-03-08,2015-03-09,2015-03-10,2015-04-08,3
2015-04-08,2013-04-09,2015-04-08,2015-04-09,2015-05-07,3
2015-05-07,2013-05-08,2015-05-07,2015-05-08,2015-06-08,3
2015-06-08,2013-06-07,2015-06-08,2015-06-09,2015-07-08,3
2015-07-08,2013-07-09,2015-07-08,2015-07-09,2015-08-06,3
2015-08-06,2013-08-07,2015-08-06,2015-08-07,2015-09-04,3
2015-09-04,2013-09-06,2015-09-04,2015-09-08,2015-10-06,3
2015-10-06,2013-10-07,2015-10-06,2015-10-07,2015-11-04,3
2015-11-04,2013-11-05,2015-11-04,2015-11-05,2015-12-04,3
2015-12-04,2013-12-05,2015-12-04,2015-12-07,2016-01-06,3
2016-01-06,2014-01-07,2016-01-06,2016-01-07,2016-02-05,3
2016-02-05,2014-02-06,2016-02-05,2016-02-08,2016-03-08,3
2016-03-08,2014-03-10,2016-03-08,2016-03-09,2016-04-07,3
2016-04-07,2014-04-08,2016-04-07,2016-04-08,2016-05-06,3
2016-05-06,2014-05-08,2016-05-06,2016-05-09,2016-06-07,3
2016-06-07,2014-06-09,2016-06-07,2016-06-08,2016-07-07,3
2016-07-07,2014-07-09,2016-07-07,2016-07-08,2016-08-05,3
2016-08-05,2014-08-07,2016-08-05,2016-08-08,2016-09-06,3
2016-09-06,2014-09-08,2016-09-06,2016-09-07,2016-10-05,3
2016-10-05,2014-10-07,2016-10-05,2016-10-06,2016-11-03,3
2016-11-03,2014-11-05,2016-11-03,2016-11-04,2016-12-05,3
2016-12-05,2014-12-05,2016-12-05,2016-12-06,2017-01-05,3
2017-01-05,2015-01-07,2017-01-05,2017-01-06,2017-02-06,3
2017-02-06,2015-02-06,2017-02-06,2017-02-07,2017-03-08,3
2017-03-08,2015-03-10,2017-03-08,2017-03-09,2017-04-06,3
2017-04-06,2015-04-09,2017-04-06,2017-04-07,2017-05-08,3
2017-05-08,2015-05-08,2017-05-08,2017-05-09,2017-06-07,3
