start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2010-01-05,2010-04-27,0,Regime 0,1136.52001953125,1183.7099609375,0.041521434374480526,78
2010-04-27,2010-04-28,1,Regime 1,1183.7099609375,1191.3599853515625,0.006462752419523099,2
2010-04-28,2010-04-30,0,Regime 0,1191.3599853515625,1186.68994140625,-0.0039199268086332895,3
2010-04-30,2010-09-09,1,Regime 1,1186.68994140625,1104.1800537109375,-0.0695294405188408,92
2010-09-09,2010-11-04,2,Regime 2,1104.1800537109375,1221.06005859375,0.10585230596223982,41
2010-11-04,2010-11-19,0,Regime 0,1221.06005859375,1199.72998046875,-0.01746849221287694,12
2010-11-19,2010-11-23,2,Regime 2,1199.72998046875,1180.72998046875,-0.015836896892896246,3
2010-11-23,2011-07-29,0,Regime 0,1180.72998046875,1292.280029296875,0.09447549454434934,172
2011-07-29,2011-10-07,1,Regime 1,1292.280029296875,1155.4599609375,-0.10587493829322603,50
2011-10-07,2011-10-10,2,Regime 2,1155.4599609375,1194.8900146484375,0.034124984892549115,2
2011-10-10,2011-10-11,1,Regime 1,1194.8900146484375,1195.5400390625,0.0005440035535435594,2
2011-10-11,2012-08-23,2,Regime 2,1195.5400390625,1402.0799560546875,0.17275867829081548,220
2012-08-23,2014-02-03,0,Regime 0,1402.0799560546875,1741.8900146484375,0.24236139824004144,362
2014-02-03,2014-02-13,1,Regime 1,1741.8900146484375,1829.8299560546875,0.05048535824117395,9
2014-02-13,2014-04-07,2,Regime 2,1829.8299560546875,1845.0400390625,0.00831229314914439,37
2014-04-07,2014-04-09,1,Regime 1,1845.0400390625,1872.1800537109375,0.014709715818540081,3
2014-04-09,2014-04-10,2,Regime 2,1872.1800537109375,1833.0799560546875,-0.020884795550912827,2
2014-04-10,2014-04-16,1,Regime 1,1833.0799560546875,1862.31005859375,0.015945896109176738,5
2014-04-16,2014-07-08,2,Regime 2,1862.31005859375,1963.7099609375,0.054448453347407666,57
2014-07-08,2014-07-09,0,Regime 0,1963.7099609375,1972.8299560546875,0.004644267890169251,2
2014-07-09,2014-07-17,2,Regime 2,1972.8299560546875,1958.1199951171875,-0.0074562741164562185,7
2014-07-17,2014-07-18,0,Regime 0,1958.1199951171875,1978.219970703125,0.010264935568841116,2
2014-07-18,2014-07-31,2,Regime 2,1978.219970703125,1930.6700439453125,-0.024036723651572278,10
2014-07-31,2014-08-20,1,Regime 1,1930.6700439453125,1986.510009765625,0.028922583636406207,15
2014-08-20,2014-09-25,2,Regime 2,1986.510009765625,1965.989990234375,-0.01032968342992191,26
2014-09-25,2014-10-31,1,Regime 1,1965.989990234375,2018.050048828125,0.026480327393499925,27
2014-10-31,2014-12-12,2,Regime 2,2018.050048828125,2002.3299560546875,-0.007789743759113454,30
2014-12-12,2014-12-19,1,Regime 1,2002.3299560546875,2070.64990234375,0.03412022383347724,6
2014-12-19,2015-01-05,2,Regime 2,2070.64990234375,2020.5799560546875,-0.024180787989504515,10
2015-01-05,2015-02-06,1,Regime 1,2020.5799560546875,2055.469970703125,0.017267326909726766,24
2015-02-06,2015-04-29,2,Regime 2,2055.469970703125,2106.85009765625,0.024996778199366743,57
2015-04-29,2015-08-20,0,Regime 0,2106.85009765625,2035.72998046875,-0.03375661005337638,80
2015-08-20,2015-10-23,1,Regime 1,2035.72998046875,2075.14990234375,0.019364022858239238,46
2015-10-23,2016-08-24,2,Regime 2,2075.14990234375,2175.43994140625,0.0483290575534947,211
2016-08-24,2018-01-16,0,Regime 0,2175.43994140625,2776.419921875,0.27625675571639263,351
2018-01-16,2018-05-11,1,Regime 1,2776.419921875,2727.719970703125,-0.0175405567393373,82
2018-05-11,2018-10-10,2,Regime 2,2727.719970703125,2785.679931640625,0.021248501151149846,106
2018-10-10,2018-12-31,1,Regime 1,2785.679931640625,2506.85009765625,-0.10009399529979679,56
