start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2010-01-05,2010-05-04,0,Regime 0,1136.52001953125,1173.5999755859375,0.03262587144745677,83
2010-05-04,2010-09-02,2,Regime 2,1173.5999755859375,1090.0999755859375,-0.07114860407040424,86
2010-09-02,2011-05-05,1,Regime 1,1090.0999755859375,1335.0999755859375,0.22475002796721522,170
2011-05-05,2011-08-04,0,Regime 0,1335.0999755859375,1200.0699462890625,-0.10113851529179618,64
2011-08-04,2012-01-23,2,Regime 2,1200.0699462890625,1316.0,0.09660274725604467,118
2012-01-23,2012-03-02,0,Regime 0,1316.0,1369.6300048828125,0.040752283345602214,29
2012-03-02,2012-06-06,1,Regime 1,1369.6300048828125,1315.1300048828125,-0.03979176843797538,67
2012-06-06,2012-07-06,2,Regime 2,1315.1300048828125,1354.6800537109375,0.030073109640327278,22
2012-07-06,2012-08-28,1,Regime 1,1354.6800537109375,1409.300048828125,0.04031947984143147,38
2012-08-28,2013-07-19,0,Regime 0,1409.300048828125,1692.0899658203125,0.20065983622673955,223
2013-07-19,2014-06-16,1,Regime 1,1692.0899658203125,1937.780029296875,0.1451991728805353,229
2014-06-16,2014-09-02,0,Regime 0,1937.780029296875,2002.280029296875,0.03328551178402006,55
2014-09-02,2014-09-25,1,Regime 1,2002.280029296875,1965.989990234375,-0.01812435749820851,18
2014-09-25,2014-11-14,2,Regime 2,1965.989990234375,2039.8199462890625,0.03755357678392146,37
2014-11-14,2014-12-12,1,Regime 1,2039.8199462890625,2002.3299560546875,-0.018379068359723916,20
2014-12-12,2015-02-26,2,Regime 2,2002.3299560546875,2110.739990234375,0.05414194291598884,51
2015-02-26,2015-08-21,1,Regime 1,2110.739990234375,1970.8900146484375,-0.06625637275693474,124
2015-08-21,2016-03-31,2,Regime 2,1970.8900146484375,2059.739990234375,0.045081143506521926,153
2016-03-31,2016-04-06,0,Regime 0,2059.739990234375,2066.659912109375,0.0033596094205134985,5
2016-04-06,2016-04-07,2,Regime 2,2066.659912109375,2041.9100341796875,-0.011975786526205012,2
2016-04-07,2016-06-24,0,Regime 0,2041.9100341796875,2037.4100341796875,-0.002203818936522217,56
2016-06-24,2016-07-27,2,Regime 2,2037.4100341796875,2166.580078125,0.06339913997592528,23
2016-07-27,2017-01-18,1,Regime 1,2166.580078125,2271.889892578125,0.048606472253849065,121
2017-01-18,2018-01-30,0,Regime 0,2271.889892578125,2822.429931640625,0.2423269018718821,261
2018-01-30,2018-09-04,2,Regime 2,2822.429931640625,2896.719970703125,0.026321304996690165,151
2018-09-04,2018-10-10,1,Regime 1,2896.719970703125,2785.679931640625,-0.03833302500260216,27
2018-10-10,2018-12-31,2,Regime 2,2785.679931640625,2506.85009765625,-0.10009399529979679,56
