start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2010-01-05,2010-03-23,1,Regime 1,1136.52001953125,1174.1700439453125,0.03312746257614618,54
2010-03-23,2010-03-24,0,Regime 0,1174.1700439453125,1167.719970703125,-0.005493304207041971,2
2010-03-24,2010-04-27,1,Regime 1,1167.719970703125,1183.7099609375,0.013693343126389257,24
2010-04-27,2010-04-28,2,Regime 2,1183.7099609375,1191.3599853515625,0.006462752419523099,2
2010-04-28,2010-04-30,1,Regime 1,1191.3599853515625,1186.68994140625,-0.0039199268086332895,3
2010-04-30,2010-05-03,2,Regime 2,1186.68994140625,1202.260009765625,0.013120586781854904,2
2010-05-03,2010-05-04,1,Regime 1,1202.260009765625,1173.5999755859375,-0.02383846584506677,2
2010-05-04,2010-07-13,2,Regime 2,1173.5999755859375,1095.3399658203125,-0.06668371795641226,49
2010-07-13,2010-07-14,0,Regime 0,1095.3399658203125,1095.1700439453125,-0.0001551316306374062,2
2010-07-14,2010-07-23,2,Regime 2,1095.1700439453125,1102.6600341796875,0.006839111675655873,8
2010-07-23,2010-08-11,0,Regime 0,1102.6600341796875,1089.469970703125,-0.011962040037458266,14
2010-08-11,2010-08-18,2,Regime 2,1089.469970703125,1094.1600341796875,0.0043049038547942065,6
2010-08-18,2010-08-19,0,Regime 0,1094.1600341796875,1075.6300048828125,-0.016935392189468268,2
2010-08-19,2010-08-27,2,Regime 2,1075.6300048828125,1064.5899658203125,-0.010263788674901075,7
2010-08-27,2010-08-30,0,Regime 0,1064.5899658203125,1048.9200439453125,-0.01471920868888299,2
2010-08-30,2010-09-01,2,Regime 2,1048.9200439453125,1080.2900390625,0.02990694600438304,3
2010-09-01,2010-11-17,0,Regime 0,1080.2900390625,1178.5899658203125,0.09099401383272898,55
2010-11-17,2010-11-18,1,Regime 1,1178.5899658203125,1196.68994140625,0.015357313493959523,2
2010-11-18,2010-11-23,0,Regime 0,1196.68994140625,1180.72998046875,-0.013336755315871751,4
2010-11-23,2010-11-24,1,Regime 1,1180.72998046875,1198.3499755859375,0.014922967493543604,2
2010-11-24,2010-11-26,0,Regime 0,1198.3499755859375,1189.4000244140625,-0.007468562068020934,2
2010-11-26,2010-12-01,1,Regime 1,1189.4000244140625,1206.0699462890625,0.014015404012802213,4
2010-12-01,2010-12-06,0,Regime 0,1206.0699462890625,1223.1199951171875,0.014136865677306654,4
2010-12-06,2011-07-28,1,Regime 1,1223.1199951171875,1300.6700439453125,0.06340346747474679,163
2011-07-28,2011-10-10,2,Regime 2,1300.6700439453125,1194.8900146484375,-0.08132733569846295,52
2011-10-10,2011-11-21,0,Regime 0,1194.8900146484375,1192.97998046875,-0.0015985020849382803,31
2011-11-21,2011-11-28,2,Regime 2,1192.97998046875,1192.550048828125,-0.00036038462309828656,5
2011-11-28,2012-03-29,0,Regime 0,1192.550048828125,1403.280029296875,0.1767053556165854,85
2012-03-29,2012-03-30,1,Regime 1,1403.280029296875,1408.469970703125,0.0036984360198231148,2
2012-03-30,2012-04-02,0,Regime 0,1408.469970703125,1419.0400390625,0.007504645877610239,2
2012-04-02,2012-04-17,1,Regime 1,1419.0400390625,1390.780029296875,-0.019914878359806654,11
2012-04-17,2012-04-18,0,Regime 0,1390.780029296875,1385.1400146484375,-0.004055288780130728,2
2012-04-18,2012-04-26,1,Regime 1,1385.1400146484375,1399.97998046875,0.01071369367960906,7
2012-04-26,2012-05-02,0,Regime 0,1399.97998046875,1402.31005859375,0.0016643653177239592,5
2012-05-02,2012-05-24,1,Regime 1,1402.31005859375,1320.6800537109375,-0.05821109560083437,17
2012-05-24,2012-06-01,0,Regime 0,1320.6800537109375,1278.0400390625,-0.03228640769475144,6
2012-06-01,2012-06-04,2,Regime 2,1278.0400390625,1278.1800537109375,0.00010955419561042845,2
2012-06-04,2012-08-14,0,Regime 0,1278.1800537109375,1403.9300537109375,0.09838207037804292,51
2012-08-14,2012-11-14,1,Regime 1,1403.9300537109375,1355.489990234375,-0.03450318863715707,64
2012-11-14,2012-11-15,2,Regime 2,1355.489990234375,1353.3299560546875,-0.0015935449138314572,2
2012-11-15,2013-04-18,1,Regime 1,1353.3299560546875,1541.6099853515625,0.13912352154367502,105
2013-04-18,2013-04-19,2,Regime 2,1541.6099853515625,1555.25,0.008847902373522176,2
2013-04-19,2013-04-29,1,Regime 1,1555.25,1593.6099853515625,0.024664835461541523,7
2013-04-29,2013-05-01,0,Regime 0,1593.6099853515625,1582.699951171875,-0.006846113089132411,3
2013-05-01,2013-05-02,1,Regime 1,1582.699951171875,1597.5899658203125,0.009407983261396247,2
2013-05-02,2013-05-06,0,Regime 0,1597.5899658203125,1617.5,0.012462543334430753,3
2013-05-06,2014-01-24,1,Regime 1,1617.5,1790.2900390625,0.10682537190880992,183
2014-01-24,2014-02-11,2,Regime 2,1790.2900390625,1819.75,0.01645541241626236,13
2014-02-11,2014-02-19,0,Regime 0,1819.75,1828.75,0.004945734304162563,6
2014-02-19,2014-02-20,1,Regime 1,1828.75,1839.780029296875,0.006031458262132583,2
2014-02-20,2014-03-13,0,Regime 0,1839.780029296875,1846.3399658203125,0.0035656091592344286,16
2014-03-13,2014-03-17,2,Regime 2,1846.3399658203125,1858.8299560546875,0.006764729391981694,3
2014-03-17,2014-03-27,0,Regime 0,1858.8299560546875,1849.0400390625,-0.005266709286828153,9
2014-03-27,2014-03-28,2,Regime 2,1849.0400390625,1857.6199951171875,0.0046402218845611465,2
2014-03-28,2014-04-07,0,Regime 0,1857.6199951171875,1845.0400390625,-0.006772082604490914,7
2014-04-07,2014-04-09,2,Regime 2,1845.0400390625,1872.1800537109375,0.014709715818540081,3
2014-04-09,2014-04-10,0,Regime 0,1872.1800537109375,1833.0799560546875,-0.020884795550912827,2
2014-04-10,2014-04-17,2,Regime 2,1833.0799560546875,1864.8499755859375,0.017331496875689023,6
