start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2010-01-05,2010-02-04,2,Regime 2,1136.52001953125,1063.1099853515625,-0.06459194111685329,22
2010-02-04,2010-02-05,0,Regime 0,1063.1099853515625,1066.18994140625,0.002897118921960873,2
2010-02-05,2010-02-08,2,Regime 2,1066.18994140625,1056.739990234375,-0.00886329049344714,2
2010-02-08,2010-02-09,0,Regime 0,1056.739990234375,1070.52001953125,0.013040132316577413,2
2010-02-09,2010-03-18,2,Regime 2,1070.52001953125,1165.8299560546875,0.0890314377914867,27
2010-03-18,2010-03-24,1,Regime 1,1165.8299560546875,1167.719970703125,0.0016211752311061645,5
2010-03-24,2010-04-27,2,Regime 2,1167.719970703125,1183.7099609375,0.013693343126389257,24
2010-04-27,2010-04-29,0,Regime 0,1183.7099609375,1206.780029296875,0.019489629318573565,3
2010-04-29,2010-04-30,2,Regime 2,1206.780029296875,1186.68994140625,-0.016647680109796337,2
2010-04-30,2010-07-13,0,Regime 0,1186.68994140625,1095.3399658203125,-0.07697880667774604,51
2010-07-13,2010-07-14,1,Regime 1,1095.3399658203125,1095.1700439453125,-0.0001551316306374062,2
2010-07-14,2010-07-23,0,Regime 0,1095.1700439453125,1102.6600341796875,0.006839111675655873,8
2010-07-23,2010-08-11,1,Regime 1,1102.6600341796875,1089.469970703125,-0.011962040037458266,14
2010-08-11,2010-08-27,0,Regime 0,1089.469970703125,1064.5899658203125,-0.022836797297639544,13
2010-08-27,2010-08-30,1,Regime 1,1064.5899658203125,1048.9200439453125,-0.01471920868888299,2
2010-08-30,2010-09-01,0,Regime 0,1048.9200439453125,1080.2900390625,0.02990694600438304,3
2010-09-01,2010-11-17,1,Regime 1,1080.2900390625,1178.5899658203125,0.09099401383272898,55
2010-11-17,2010-11-18,2,Regime 2,1178.5899658203125,1196.68994140625,0.015357313493959523,2
2010-11-18,2010-11-23,1,Regime 1,1196.68994140625,1180.72998046875,-0.013336755315871751,4
2010-11-23,2010-11-24,2,Regime 2,1180.72998046875,1198.3499755859375,0.014922967493543604,2
2010-11-24,2010-11-26,1,Regime 1,1198.3499755859375,1189.4000244140625,-0.007468562068020934,2
2010-11-26,2010-12-01,2,Regime 2,1189.4000244140625,1206.0699462890625,0.014015404012802213,4
2010-12-01,2010-12-02,1,Regime 1,1206.0699462890625,1221.530029296875,0.012818562518186694,2
2010-12-02,2011-07-27,2,Regime 2,1221.530029296875,1304.8900146484375,0.06824227268448357,164
2011-07-27,2011-10-10,0,Regime 0,1304.8900146484375,1194.8900146484375,-0.08429829239641784,53
2011-10-10,2011-11-21,1,Regime 1,1194.8900146484375,1192.97998046875,-0.0015985020849382803,31
2011-11-21,2011-11-28,0,Regime 0,1192.97998046875,1192.550048828125,-0.00036038462309828656,5
2011-11-28,2012-03-22,1,Regime 1,1192.550048828125,1392.780029296875,0.1679006936987748,80
2012-03-22,2012-03-23,2,Regime 2,1392.780029296875,1397.1099853515625,0.003108858515779689,2
2012-03-23,2012-03-28,1,Regime 1,1397.1099853515625,1405.5400390625,0.006033922740031228,4
2012-03-28,2012-05-25,2,Regime 2,1405.5400390625,1317.8199462890625,-0.06241024114257687,42
2012-05-25,2012-06-01,1,Regime 1,1317.8199462890625,1278.0400390625,-0.03018614746163273,5
2012-06-01,2012-06-04,0,Regime 0,1278.0400390625,1278.1800537109375,0.00010955419561042845,2
2012-06-04,2012-08-14,1,Regime 1,1278.1800537109375,1403.9300537109375,0.09838207037804292,51
