start_date,end_date,regime,regime_name,start_price,end_price,ret,duration_days
2015-01-26,2015-01-29,1,Risk-On (Steepening),2057.090087890625,2021.25,-0.01742271186935529,4
2015-01-30,2015-01-30,0,Risk-Off,1994.989990234375,1994.989990234375,0.0,1
2015-02-02,2015-08-20,1,Risk-On (Steepening),2020.8499755859375,2035.72998046875,0.0073632407465071825,200
2015-08-21,2015-08-26,0,Risk-Off,1970.8900146484375,1940.510009765625,-0.01541435831376492,6
2015-08-27,2015-08-31,1,Risk-On (Steepening),1987.6600341796875,1972.1800537109375,-0.007788042322407818,5
2015-09-01,2015-09-01,0,Risk-Off,1913.8499755859375,1913.8499755859375,0.0,1
2015-09-02,2015-09-02,1,Risk-On (Steepening),1948.8599853515625,1948.8599853515625,0.0,1
2015-09-03,2015-09-04,0,Risk-Off,1951.1300048828125,1921.219970703125,-0.015329595723932221,2
2015-09-08,2015-09-08,1,Risk-On (Steepening),1969.4100341796875,1969.4100341796875,0.0,1
2015-09-09,2015-09-09,0,Risk-Off,1942.0400390625,1942.0400390625,0.0,1
2015-09-10,2015-09-17,1,Risk-On (Steepening),1952.2900390625,1990.199951171875,0.01941817627035558,8
2015-09-18,2015-09-18,0,Risk-Off,1958.030029296875,1958.030029296875,0.0,1
2015-09-21,2015-09-21,1,Risk-On (Steepening),1966.969970703125,1966.969970703125,0.0,1
2015-09-22,2015-09-24,0,Risk-Off,1942.739990234375,1932.239990234375,-0.005404737665761106,3
2015-09-25,2015-09-25,1,Risk-On (Steepening),1931.3399658203125,1931.3399658203125,0.0,1
2015-09-28,2015-09-29,0,Risk-Off,1881.77001953125,1884.0899658203125,0.001232853252514099,2
2015-09-30,2015-12-10,1,Risk-On (Steepening),1920.030029296875,2052.22998046875,0.06885306435560667,72
2015-12-11,2015-12-11,0,Risk-Off,2012.3699951171875,2012.3699951171875,0.0,1
2015-12-14,2016-01-05,1,Risk-On (Steepening),2021.93994140625,2016.7099609375,-0.0025866151420465,23
2016-01-06,2016-01-11,0,Risk-Off,1990.260009765625,1923.6700439453125,-0.033457922830974374,6
2016-01-12,2016-01-12,1,Risk-On (Steepening),1938.6800537109375,1938.6800537109375,0.0,1
2016-01-13,2016-01-13,0,Risk-Off,1890.280029296875,1890.280029296875,0.0,1
2016-01-14,2016-01-14,1,Risk-On (Steepening),1921.8399658203125,1921.8399658203125,0.0,1
2016-01-15,2016-01-20,0,Risk-Off,1880.3299560546875,1859.3299560546875,-0.011168252642244858,6
2016-01-21,2016-01-22,1,Risk-On (Steepening),1868.989990234375,1906.9000244140625,0.020283701024494727,2
